127.0.0.1, 2016-12-24 18:58:41, GET, /admin/static/_2.14.6/images/delete_icon.png, HTTP/1.1, 200, 0.003000
127.0.0.1, 2016-12-24 18:58:41, GET, /admin/static/_2.14.6/images/test_icon.png, HTTP/1.1, 200, 0.003000
127.0.0.1, 2016-12-24 18:58:42, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2016-12-24 18:58:44, GET, /eadtools/appadmin/graph_model, HTTP/1.1, 200, 0.683000
127.0.0.1, 2016-12-24 18:58:44, GET, /eadtools/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2016-12-24 18:58:44, GET, /eadtools/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2016-12-24 18:58:44, GET, /eadtools/static/css/calendar.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2016-12-24 18:58:44, GET, /eadtools/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2016-12-24 18:58:44, GET, /eadtools/static/js/jquery.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2016-12-24 18:58:44, GET, /eadtools/static/js/calendar.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2016-12-24 18:58:44, GET, /eadtools/static/js/web2py.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2016-12-24 18:58:45, GET, /eadtools/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2016-12-24 18:58:45, GET, /eadtools/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2016-12-24 18:58:45, GET, /eadtools/static/js/share.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2016-12-24 18:58:45, GET, /eadtools/static/images/twitter.png, HTTP/1.1, 200, 0.004000
127.0.0.1, 2016-12-24 18:58:45, GET, /eadtools/static/images/facebook.png, HTTP/1.1, 200, 0.005000
127.0.0.1, 2016-12-24 18:58:45, GET, /eadtools/static/images/gplus-32.png, HTTP/1.1, 200, 0.005000
127.0.0.1, 2016-12-24 18:58:50, GET, /eadtools/appadmin/bg_graph_model, HTTP/1.1, 200, 5.061000
127.0.0.1, 2016-12-24 18:58:50, GET, /eadtools/static/images/favicon.ico, HTTP/1.1, 200, 0.003000
127.0.0.1, 2016-12-24 18:59:11, GET, /eadtools/appadmin/graph_model, HTTP/1.1, 200, 0.240000
127.0.0.1, 2016-12-24 18:59:13, GET, /admin/default/design/eadtools, HTTP/1.1, 200, 0.470000
127.0.0.1, 2016-12-24 18:59:15, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2016-12-24 19:15:04, GET, /admin/default/index, HTTP/1.1, 303, 0.037000
127.0.0.1, 2016-12-24 19:15:04, GET, /admin/default/site, HTTP/1.1, 200, 0.343000
127.0.0.1, 2016-12-24 19:15:07, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2016-12-24 19:15:16, GET, /admin/default/index, HTTP/1.1, 303, 0.031000
127.0.0.1, 2016-12-24 19:15:17, GET, /admin/default/site, HTTP/1.1, 200, 0.218000
127.0.0.1, 2016-12-24 19:15:18, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2016-12-24 19:15:20, GET, /admin/default/site, HTTP/1.1, 200, 0.208000
127.0.0.1, 2016-12-24 19:15:22, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2016-12-24 19:15:49, GET, /examples/default/documentation, HTTP/1.1, 200, 0.133000
127.0.0.1, 2016-12-24 19:15:49, GET, /examples/static/css/calendar.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2016-12-24 19:15:49, GET, /examples/static/css/web2py.css, HTTP/1.1, 200, 0.005000
127.0.0.1, 2016-12-24 19:15:49, GET, /examples/static/css/stupid.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2016-12-24 19:15:49, GET, /examples/static/css/examples.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2016-12-24 19:15:49, GET, /examples/static/js/calendar.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2016-12-24 19:15:50, GET, /examples/static/js/jquery.js, HTTP/1.1, 200, 0.102000
127.0.0.1, 2016-12-24 19:15:50, GET, /examples/static/js/web2py.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2016-12-24 19:15:53, GET, /examples/static/images/favicon.ico, HTTP/1.1, 200, 0.003000
